MRT,Latitude,Longitude,PLN_AREA_N
ADMIRALTY MRT STATION,1.440588562,103.8009905,WOODLANDS
ALJUNIED MRT STATION,1.316432612,103.882906,GEYLANG
ANG MO KIO MRT STATION,1.36993285,103.8495581,ANG MO KIO
BARTLEY MRT STATION,1.342501178,103.8801779,SERANGOON
BAYFRONT MRT STATION,1.281873789,103.8590798,CENTRAL AREA
BEAUTY WORLD MRT STATION,1.34090149,103.7757467,BUKIT TIMAH
BEDOK MRT STATION,1.320401487,103.9571838,BEDOK
BEDOK NORTH MRT STATION,1.334742117,103.9179783,BEDOK
BEDOK RESERVOIR MRT STATION,1.33660783,103.9322346,BEDOK
BENCOOLEN MRT STATION,1.298918434,103.8503538,CENTRAL AREA
BENDEMEER MRT STATION,1.313672528,103.8629776,KALLANG/WHAMPOA
BISHAN MRT STATION,1.351315801,103.8491403,BISHAN
BOON KENG MRT STATION,1.319596792,103.8617507,KALLANG/WHAMPOA
BOON LAY MRT STATION,1.338604055,103.7060646,BOON LAY
BOTANIC GARDENS MRT STATION,1.322113736,103.8149845,TANGLIN
BRADDELL MRT STATION,1.340469001,103.8467991,TOA PAYOH
BRAS BASAH MRT STATION,1.296861686,103.8506674,CENTRAL AREA
BRIGHT HILL MRT STATION,1.363846766,103.8338992,BISHAN
BUANGKOK MRT STATION,1.38287002,103.8931226,SENGKANG
BUGIS MRT STATION,1.300465085,103.8557067,CENTRAL AREA
BUKIT BATOK MRT STATION,1.349033312,103.7495665,BUKIT BATOK
BUKIT BROWN MRT STATION,1.333728883,103.8306895,CENTRAL AREA
BUKIT GOMBAK MRT STATION,1.358611591,103.7517909,BUKIT BATOK
BUKIT PANJANG MRT STATION,1.379561212,103.7611889,BUKIT BATOK
BUONA VISTA MRT STATION,1.307223708,103.7902535,QUEENSTOWN
CALDECOTT MRT STATION,1.337245613,103.8401618,TOA PAYOH
CANBERRA MRT STATION,1.443076641,103.8297026,SEMBAWANG
CASHEW MRT STATION,1.369815449,103.7644392,BUKIT BATOK
CHANGI AIRPORT MRT STATION,1.357478974,103.9878836,CHANGI
CHINATOWN MRT STATION,1.284223919,103.8451438,OUTRAM
CHINESE GARDEN MRT STATION,1.342244948,103.7327666,JURONG EAST
CHOA CHU KANG MRT STATION,1.385363165,103.7443708,CHOA CHU KANG
CITY HALL MRT STATION,1.292989907,103.8525426,CENTRAL AREA
CLARKE QUAY MRT STATION,1.287452114,103.8461192,CENTRAL AREA
CLEMENTI MRT STATION,1.315116253,103.7651915,CLEMENTI
COMMONWEALTH MRT STATION,1.302501999,103.7982285,QUEENSTOWN
DAKOTA MRT STATION,1.308547984,103.8890647,GEYLANG
DHOBY GHAUT MRT STATION,1.298688723,103.8461799,CENTRAL AREA
DOVER MRT STATION,1.311405293,103.7786378,QUEENSTOWN
DOWNTOWN MRT STATION,1.279446382,103.8528408,CENTRAL AREA
ESPLANADE MRT STATION,1.293657725,103.8550812,CENTRAL AREA
EUNOS MRT STATION,1.319783549,103.9032258,GEYLANG
EXPO MRT STATION,1.335382526,103.9623747,TAMPINES
FARRER PARK MRT STATION,1.3131403,103.8547547,KALLANG/WHAMPOA
FARRER ROAD MRT STATION,1.317439152,103.8073792,BUKIT TIMAH
FORT CANNING MRT STATION,1.292481948,103.8443314,CENTRAL AREA
GARDENS BY THE BAY MRT STATION,1.278487259,103.8674547,CENTRAL AREA
GEYLANG BAHRU MRT STATION,1.321301102,103.8716226,GEYLANG
GREAT WORLD MRT STATION,1.293316457,103.8339066,CENTRAL AREA
GUL CIRCLE MRT STATION,1.319470901,103.6605305,TUAS
HARBOURFRONT MRT STATION,1.265389384,103.8215302,BUKIT MERAH
HAVELOCK MRT STATION,1.28850524,103.8335858,BUKIT MERAH
HAW PAR VILLA MRT STATION,1.282571358,103.7817527,QUEENSTOWN
HILLVIEW MRT STATION,1.362344868,103.7674183,BUKIT BATOK
HOLLAND VILLAGE MRT STATION,1.312264226,103.7964704,BUKIT TIMAH
HOUGANG MRT STATION,1.371292266,103.8923805,HOUGANG
HUME MRT STATION,NotFound,NotFound,
JALAN BESAR MRT STATION,1.305171388,103.8552957,CENTRAL AREA
JOO KOON MRT STATION,1.327694365,103.6780851,PIONEER
JURONG EAST MRT STATION,1.33315262,103.7422865,JURONG EAST
KAKI BUKIT MRT STATION,1.33496736,103.9084593,BEDOK
KALLANG MRT STATION,1.31148891,103.8713865,KALLANG/WHAMPOA
KEMBANGAN MRT STATION,1.321038134,103.9129479,BEDOK
KENT RIDGE MRT STATION,1.293536986,103.7845724,QUEENSTOWN
KHATIB MRT STATION,1.41738337,103.8329799,YISHUN
KING ALBERT PARK MRT STATION,1.335893496,103.7832359,BUKIT TIMAH
KOVAN MRT STATION,1.360179171,103.8850649,HOUGANG
KRANJI MRT STATION,1.425086981,103.7621375,SUNGEI KADUT
LABRADOR PARK MRT STATION,1.272254177,103.8026316,BUKIT MERAH
LAKESIDE MRT STATION,1.344259115,103.7209491,JURONG WEST
LAVENDER MRT STATION,1.307377817,103.8627676,KALLANG/WHAMPOA
LENTOR MRT STATION,1.38550658,103.8357438,ANG MO KIO
LITTLE INDIA MRT STATION,1.307243816,103.8498416,KALLANG/WHAMPOA
LORONG CHUAN MRT STATION,1.351531286,103.8648122,SERANGOON
MACPHERSON MRT STATION,1.326150245,103.8892986,GEYLANG
MARINA BAY MRT STATION,1.276427355,103.8545978,CENTRAL AREA
MARINA SOUTH MRT STATION,1.271027036,103.8624475,CENTRAL AREA
MARINA SOUTH PIER MRT STATION,1.271027036,103.8624475,CENTRAL AREA
MARSILING MRT STATION,1.432521149,103.7740746,WOODLANDS
MARYMOUNT MRT STATION,1.348707263,103.8394231,BISHAN
MATTAR MRT STATION,1.326876715,103.8832475,GEYLANG
MAXWELL MRT STATION,1.280533298,103.8438837,CENTRAL AREA
MAYFLOWER MRT STATION,1.371463188,103.8365678,ANG MO KIO
MOUNT PLEASANT MRT STATION,1.328564555,103.8351886,NOVENA
MOUNTBATTEN MRT STATION,1.306201905,103.8825281,GEYLANG
NAPIER MRT STATION,1.306782234,103.8189568,TANGLIN
NEWTON MRT STATION,1.312318922,103.8379846,NEWTON
NICOLL HIGHWAY MRT STATION,1.29956843,103.8639777,KALLANG/WHAMPOA
